,id,created_at,updated_at,timestamp,sensor_id,sensor_value,isanalyzed,count,time_since_boot,status_bin
1046,4815736,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:37:17.557288+00,45598,0,t,3886,-1630815163,1111111111111011
1047,4815749,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:37:30.004752+00,45598,1,t,3887,-1630802716,1111111111111111
1048,4815804,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:37:53.592566+00,45574,0,t,12532,-337471475,1111110111111111
1049,4815805,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:37:57.944918+00,45573,0,t,12533,-337467122,1111110011111111
1050,4815806,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:37:59.097146+00,45574,1,t,12534,-337465970,1111111011111111
1051,4815810,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:38:09.061124+00,45573,1,t,12535,-337456006,1111111111111111
1052,4815923,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:39:45.598541+00,11-0,0,t,3888,-1630667122,1111111111111110
1053,4815947,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:40:02.115076+00,11-0,1,t,3889,-1630650606,1111111111111111
1054,4815997,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:40:25.136504+00,45572,0,t,12536,-337319931,1111111101111111
1055,4816001,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:40:29.506884+00,45571,0,t,12537,-337315561,1111111100111111
1056,4816003,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:40:30.563863+00,45572,1,t,12538,-337314504,1111111110111111
1057,4816030,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:40:40.919227+00,45571,1,t,12539,-337304148,1111111111111111
1058,4816137,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:41:42.793346+00,45567,0,t,12540,-337242274,1111111111111011
1059,4816140,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:41:47.191685+00,45568,0,t,12541,-337237876,1111111111110011
1060,4816141,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:41:48.120611+00,45567,1,t,12542,-337236947,1111111111110111
1061,4816143,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:41:52.517106+00,45568,1,t,12543,-337232551,1111111111111111
1062,4816198,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:42:24.692969+00,45599,0,t,3890,-1630508028,1111111111110111
1063,4816209,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:42:34.997184+00,45599,1,t,3891,-1630497724,1111111111111111
1064,4816442,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:13.681818+00,45571,0,t,12545,-336971386,1111111100111111
1065,4816443,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:13.681818+00,45572,0,t,12545,-336971386,1111111100111111
1066,4816444,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:09.331445+00,45572,1,t,12544,-336975737,1111111110111111
1067,4816445,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:14.792916+00,45571,1,t,12546,-336970275,1111111101111111
1068,4816446,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:14.792916+00,45572,0,t,12546,-336970275,1111111101111111
1069,4816480,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:23.856026+00,45572,1,t,12547,-336961212,1111111111111111
1070,4816553,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:46:55.771395+00,45601,0,t,3892,-1630236950,1111111111011111
1071,4816563,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:47:06.167763+00,45601,1,t,3893,-1630226554,1111111111111111
1072,4816576,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:47:31.595155+00,11-0,0,t,3894,-1630201126,1111111111111110
1073,4816585,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:47:45.542186+00,11-0,1,t,3895,-1630187179,1111111111111111
1074,4816664,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:48:14.680156+00,45569,0,t,12550,-336850388,1111111111101111
1075,4816666,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:48:13.582928+00,45570,0,t,12549,-336851486,1111111111001111
1076,4816668,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:48:09.240635+00,45569,1,t,12548,-336855828,1111111111011111
1077,4816672,2024-10-11 08:20:02.146178+00,2024-10-11 07:41:47.886216+00,2024-10-17 00:48:24.271601+00,45570,1,t,12551,-336840797,1111111111111111
